entity_label,entity_class,oid,mentioned,entity,
fused with,Class,hp.owl,88,http://purl.obolibrary.org/obo/PATO_0000642,
fused with,Class,mp.owl,57,http://purl.obolibrary.org/obo/PATO_0000642,
increased width,Class,hp.owl,118,http://purl.obolibrary.org/obo/PATO_0000600,
increased width,Class,mp.owl,20,http://purl.obolibrary.org/obo/PATO_0000600,
RO_0002202,ObjectProperty,hp.owl,68,http://purl.obolibrary.org/obo/RO_0002202,
RO_0002202,ObjectProperty,mp.owl,68,http://purl.obolibrary.org/obo/RO_0002202,
UBERON_0001981,Class,hp.owl,57,http://purl.obolibrary.org/obo/UBERON_0001981,
UBERON_0001981,Class,mp.owl,77,http://purl.obolibrary.org/obo/UBERON_0001981,
MPATH_184,Class,hp.owl,119,http://purl.obolibrary.org/obo/MPATH_184,
MPATH_184,Class,mp.owl,10,http://purl.obolibrary.org/obo/MPATH_184,
UBERON_0002113,Class,hp.owl,47,http://purl.obolibrary.org/obo/UBERON_0002113,
UBERON_0002113,Class,mp.owl,72,http://purl.obolibrary.org/obo/UBERON_0002113,
UBERON_0001135,Class,hp.owl,55,http://purl.obolibrary.org/obo/UBERON_0001135,
UBERON_0001135,Class,mp.owl,56,http://purl.obolibrary.org/obo/UBERON_0001135,
aplastic,Class,hp.owl,109,http://purl.obolibrary.org/obo/PATO_0001483,
aplastic,Class,pato.owl,1,http://purl.obolibrary.org/obo/PATO_0001483,
aplastic,Class,mp.owl,1,http://purl.obolibrary.org/obo/PATO_0001483,
GO_0006915,Class,mp.owl,106,http://purl.obolibrary.org/obo/GO_0006915,
atrophied,Class,hp.owl,58,http://purl.obolibrary.org/obo/PATO_0001623,
atrophied,Class,mp.owl,48,http://purl.obolibrary.org/obo/PATO_0001623,
UBERON_0002387,Class,hp.owl,58,http://purl.obolibrary.org/obo/UBERON_0002387,
UBERON_0002387,Class,mp.owl,42,http://purl.obolibrary.org/obo/UBERON_0002387,
hyperplastic,Class,hp.owl,15,http://purl.obolibrary.org/obo/PATO_0000644,
hyperplastic,Class,mp.owl,83,http://purl.obolibrary.org/obo/PATO_0000644,
degenerate,Class,hp.owl,18,http://purl.obolibrary.org/obo/PATO_0000639,
degenerate,Class,mp.owl,79,http://purl.obolibrary.org/obo/PATO_0000639,
UBERON_0000009,Class,hp.owl,49,http://purl.obolibrary.org/obo/UBERON_0000009,
UBERON_0000009,Class,mp.owl,48,http://purl.obolibrary.org/obo/UBERON_0000009,
UBERON_0002384,Class,hp.owl,45,http://purl.obolibrary.org/obo/UBERON_0002384,
UBERON_0002384,Class,mp.owl,46,http://purl.obolibrary.org/obo/UBERON_0002384,
decreased thickness,Class,hp.owl,18,http://purl.obolibrary.org/obo/PATO_0000592,
decreased thickness,Class,mp.owl,70,http://purl.obolibrary.org/obo/PATO_0000592,
UBERON_0002107,Class,hp.owl,31,http://purl.obolibrary.org/obo/UBERON_0002107,
UBERON_0002107,Class,mp.owl,56,http://purl.obolibrary.org/obo/UBERON_0002107,
triangular,Class,hp.owl,85,http://purl.obolibrary.org/obo/PATO_0001875,
triangular,Class,mp.owl,2,http://purl.obolibrary.org/obo/PATO_0001875,
UBERON_0002398,Class,hp.owl,53,http://purl.obolibrary.org/obo/UBERON_0002398,
UBERON_0002398,Class,mp.owl,34,http://purl.obolibrary.org/obo/UBERON_0002398,
UBERON_0000955,Class,hp.owl,28,http://purl.obolibrary.org/obo/UBERON_0000955,
UBERON_0000955,Class,mp.owl,55,http://purl.obolibrary.org/obo/UBERON_0000955,
increased length,Class,hp.owl,42,http://purl.obolibrary.org/obo/PATO_0000573,
increased length,Class,mp.owl,41,http://purl.obolibrary.org/obo/PATO_0000573,
UBERON_0004380,Class,hp.owl,41,http://purl.obolibrary.org/obo/UBERON_0004380,
UBERON_0004380,Class,mp.owl,41,http://purl.obolibrary.org/obo/UBERON_0004380,
dilated,Class,hp.owl,13,http://purl.obolibrary.org/obo/PATO_0001571,
dilated,Class,mp.owl,69,http://purl.obolibrary.org/obo/PATO_0001571,
increased thickness,Class,hp.owl,27,http://purl.obolibrary.org/obo/PATO_0000591,
increased thickness,Class,mp.owl,54,http://purl.obolibrary.org/obo/PATO_0000591,
cellular_component,Class,hp.owl,40,http://purl.obolibrary.org/obo/GO_0005575,
cellular_component,Class,mp.owl,40,http://purl.obolibrary.org/obo/GO_0005575,
BFO_0000019,Class,hp.owl,14,http://purl.obolibrary.org/obo/BFO_0000019,
BFO_0000019,Class,mp.owl,66,http://purl.obolibrary.org/obo/BFO_0000019,
UBERON_0000948,Class,hp.owl,30,http://purl.obolibrary.org/obo/UBERON_0000948,
UBERON_0000948,Class,mp.owl,49,http://purl.obolibrary.org/obo/UBERON_0000948,
GO_0001503,Class,hp.owl,71,http://purl.obolibrary.org/obo/GO_0001503,
GO_0001503,Class,mp.owl,8,http://purl.obolibrary.org/obo/GO_0001503,
NCIT_C3262,Class,hp.owl,79,http://purl.obolibrary.org/obo/NCIT_C3262,
UBERON_0002048,Class,hp.owl,29,http://purl.obolibrary.org/obo/UBERON_0002048,
UBERON_0002048,Class,mp.owl,48,http://purl.obolibrary.org/obo/UBERON_0002048,
has_quality,ObjectProperty,nbo.owl,77,http://purl.obolibrary.org/obo/uberon#has_quality,
constricted,Class,hp.owl,32,http://purl.obolibrary.org/obo/PATO_0001847,
constricted,Class,mp.owl,44,http://purl.obolibrary.org/obo/PATO_0001847,
UBERON_0001015,Class,hp.owl,43,http://purl.obolibrary.org/obo/UBERON_0001015,
UBERON_0001015,Class,mp.owl,33,http://purl.obolibrary.org/obo/UBERON_0001015,
hypertrophic,Class,hp.owl,39,http://purl.obolibrary.org/obo/PATO_0000584,
hypertrophic,Class,mp.owl,36,http://purl.obolibrary.org/obo/PATO_0000584,
UBERON_0001134,Class,hp.owl,25,http://purl.obolibrary.org/obo/UBERON_0001134,
UBERON_0001134,Class,mp.owl,49,http://purl.obolibrary.org/obo/UBERON_0001134,
size,Class,hp.owl,15,http://purl.obolibrary.org/obo/PATO_0000117,
size,Class,mp.owl,57,http://purl.obolibrary.org/obo/PATO_0000117,
size,Class,nbo.owl,2,http://purl.obolibrary.org/obo/PATO_0000117,
UBERON_0001710,Class,hp.owl,36,http://purl.obolibrary.org/obo/UBERON_0001710,
UBERON_0001710,Class,mp.owl,37,http://purl.obolibrary.org/obo/UBERON_0001710,
BFO_0000056,ObjectProperty,nbo.owl,73,http://purl.obolibrary.org/obo/BFO_0000056,
UBERON_0001264,Class,hp.owl,27,http://purl.obolibrary.org/obo/UBERON_0001264,
UBERON_0001264,Class,mp.owl,46,http://purl.obolibrary.org/obo/UBERON_0001264,
duplicated,Class,hp.owl,69,http://purl.obolibrary.org/obo/PATO_0001473,
duplicated,Class,mp.owl,4,http://purl.obolibrary.org/obo/PATO_0001473,
GO_0043473,Class,hp.owl,37,http://purl.obolibrary.org/obo/GO_0043473,
GO_0043473,Class,mp.owl,35,http://purl.obolibrary.org/obo/GO_0043473,
irregular density,Class,hp.owl,72,http://purl.obolibrary.org/obo/PATO_0002141,
UBERON_0001037,Class,hp.owl,35,http://purl.obolibrary.org/obo/UBERON_0001037,
UBERON_0001037,Class,mp.owl,37,http://purl.obolibrary.org/obo/UBERON_0001037,
UBERON_0001986,Class,hp.owl,35,http://purl.obolibrary.org/obo/UBERON_0001986,
UBERON_0001986,Class,mp.owl,35,http://purl.obolibrary.org/obo/UBERON_0001986,
UBERON_0000081,Class,hp.owl,33,http://purl.obolibrary.org/obo/UBERON_0000081,
UBERON_0000081,Class,mp.owl,36,http://purl.obolibrary.org/obo/UBERON_0000081,
UBERON_0000468,Class,hp.owl,22,http://purl.obolibrary.org/obo/UBERON_0000468,
UBERON_0000468,Class,mp.owl,46,http://purl.obolibrary.org/obo/UBERON_0000468,
UBERON_0000033,Class,hp.owl,30,http://purl.obolibrary.org/obo/UBERON_0000033,
UBERON_0000033,Class,mp.owl,38,http://purl.obolibrary.org/obo/UBERON_0000033,
UBERON_0000029,Class,hp.owl,30,http://purl.obolibrary.org/obo/UBERON_0000029,
UBERON_0000029,Class,mp.owl,38,http://purl.obolibrary.org/obo/UBERON_0000029,
UBERON_0014892,Class,hp.owl,34,http://purl.obolibrary.org/obo/UBERON_0014892,
UBERON_0014892,Class,mp.owl,34,http://purl.obolibrary.org/obo/UBERON_0014892,
calcified,Class,hp.owl,49,http://purl.obolibrary.org/obo/PATO_0001447,
calcified,Class,mp.owl,19,http://purl.obolibrary.org/obo/PATO_0001447,
UBERON_0001709,Class,hp.owl,33,http://purl.obolibrary.org/obo/UBERON_0001709,
UBERON_0001709,Class,mp.owl,34,http://purl.obolibrary.org/obo/UBERON_0001709,
UBERON_0001021,Class,hp.owl,37,http://purl.obolibrary.org/obo/UBERON_0001021,
UBERON_0001021,Class,mp.owl,29,http://purl.obolibrary.org/obo/UBERON_0001021,
UBERON_0001630,Class,hp.owl,33,http://purl.obolibrary.org/obo/UBERON_0001630,
UBERON_0001630,Class,mp.owl,32,http://purl.obolibrary.org/obo/UBERON_0001630,
UBERON_0002530,Class,hp.owl,31,http://purl.obolibrary.org/obo/UBERON_0002530,
UBERON_0002530,Class,mp.owl,34,http://purl.obolibrary.org/obo/UBERON_0002530,
UBERON_0000992,Class,hp.owl,26,http://purl.obolibrary.org/obo/UBERON_0000992,
UBERON_0000992,Class,mp.owl,38,http://purl.obolibrary.org/obo/UBERON_0000992,
UBERON_0001456,Class,hp.owl,36,http://purl.obolibrary.org/obo/UBERON_0001456,
UBERON_0001456,Class,mp.owl,28,http://purl.obolibrary.org/obo/UBERON_0001456,
UBERON_0001043,Class,hp.owl,30,http://purl.obolibrary.org/obo/UBERON_0001043,
UBERON_0001043,Class,mp.owl,34,http://purl.obolibrary.org/obo/UBERON_0001043,
UBERON_0001004,Class,hp.owl,31,http://purl.obolibrary.org/obo/UBERON_0001004,
UBERON_0001004,Class,mp.owl,31,http://purl.obolibrary.org/obo/UBERON_0001004,
Flexion contracture,Class,hp.owl,61,http://purl.obolibrary.org/obo/HP_0001371,
delayed,Class,hp.owl,24,http://purl.obolibrary.org/obo/PATO_0000502,
delayed,Class,mp.owl,36,http://purl.obolibrary.org/obo/PATO_0000502,
UBERON_0000996,Class,hp.owl,25,http://purl.obolibrary.org/obo/UBERON_0000996,
UBERON_0000996,Class,mp.owl,34,http://purl.obolibrary.org/obo/UBERON_0000996,
UBERON_0000982,Class,hp.owl,35,http://purl.obolibrary.org/obo/UBERON_0000982,
UBERON_0000982,Class,mp.owl,24,http://purl.obolibrary.org/obo/UBERON_0000982,
UBERON_0000160,Class,hp.owl,21,http://purl.obolibrary.org/obo/UBERON_0000160,
UBERON_0000160,Class,mp.owl,38,http://purl.obolibrary.org/obo/UBERON_0000160,
UBERON_0002389,Class,hp.owl,41,http://purl.obolibrary.org/obo/UBERON_0002389,
UBERON_0002389,Class,mp.owl,18,http://purl.obolibrary.org/obo/UBERON_0002389,
broken,Class,hp.owl,54,http://purl.obolibrary.org/obo/PATO_0001444,
broken,Class,mp.owl,4,http://purl.obolibrary.org/obo/PATO_0001444,
UBERON_0002106,Class,hp.owl,21,http://purl.obolibrary.org/obo/UBERON_0002106,
UBERON_0002106,Class,mp.owl,35,http://purl.obolibrary.org/obo/UBERON_0002106,
UBERON_0002049,Class,hp.owl,31,http://purl.obolibrary.org/obo/UBERON_0002049,
UBERON_0002049,Class,mp.owl,25,http://purl.obolibrary.org/obo/UBERON_0002049,
conical,Class,hp.owl,54,http://purl.obolibrary.org/obo/PATO_0002021,
conical,Class,mp.owl,2,http://purl.obolibrary.org/obo/PATO_0002021,
curved,Class,hp.owl,55,http://purl.obolibrary.org/obo/PATO_0000406,
dysplastic,Class,hp.owl,47,http://purl.obolibrary.org/obo/PATO_0000640,
dysplastic,Class,mp.owl,8,http://purl.obolibrary.org/obo/PATO_0000640,
mislocalised,Class,hp.owl,17,http://purl.obolibrary.org/obo/PATO_0000628,
mislocalised,Class,mp.owl,38,http://purl.obolibrary.org/obo/PATO_0000628,
pathological,Class,hp.owl,34,http://purl.obolibrary.org/obo/PATO_0001869,
pathological,Class,mp.owl,21,http://purl.obolibrary.org/obo/PATO_0001869,
UBERON_0000995,Class,hp.owl,19,http://purl.obolibrary.org/obo/UBERON_0000995,
UBERON_0000995,Class,mp.owl,35,http://purl.obolibrary.org/obo/UBERON_0000995,
increased weight,Class,hp.owl,4,http://purl.obolibrary.org/obo/PATO_0000582,
increased weight,Class,mp.owl,50,http://purl.obolibrary.org/obo/PATO_0000582,
UBERON_0000019,Class,hp.owl,13,http://purl.obolibrary.org/obo/UBERON_0000019,
UBERON_0000019,Class,mp.owl,41,http://purl.obolibrary.org/obo/UBERON_0000019,
UBERON_0001638,Class,hp.owl,29,http://purl.obolibrary.org/obo/UBERON_0001638,
UBERON_0001638,Class,mp.owl,25,http://purl.obolibrary.org/obo/UBERON_0001638,
UBERON_0002097,Class,hp.owl,42,http://purl.obolibrary.org/obo/UBERON_0002097,
UBERON_0002097,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0002097,
atretic,Class,hp.owl,34,http://purl.obolibrary.org/obo/PATO_0001819,
atretic,Class,mp.owl,19,http://purl.obolibrary.org/obo/PATO_0001819,
decreased weight,Class,hp.owl,3,http://purl.obolibrary.org/obo/PATO_0000583,
decreased weight,Class,mp.owl,50,http://purl.obolibrary.org/obo/PATO_0000583,
MPATH_119,Class,hp.owl,20,http://purl.obolibrary.org/obo/MPATH_119,
MPATH_119,Class,mp.owl,33,http://purl.obolibrary.org/obo/MPATH_119,
UBERON_0003916,Class,hp.owl,18,http://purl.obolibrary.org/obo/UBERON_0003916,
UBERON_0003916,Class,mp.owl,35,http://purl.obolibrary.org/obo/UBERON_0003916,
punctate,Class,hp.owl,53,http://purl.obolibrary.org/obo/PATO_0001512,
UBERON_0001466,Class,hp.owl,35,http://purl.obolibrary.org/obo/UBERON_0001466,
UBERON_0001466,Class,mp.owl,17,http://purl.obolibrary.org/obo/UBERON_0001466,
UBERON_0002101,Class,hp.owl,20,http://purl.obolibrary.org/obo/UBERON_0002101,
UBERON_0002101,Class,mp.owl,30,http://purl.obolibrary.org/obo/UBERON_0002101,
UBERON_0002101,Class,nbo.owl,1,http://purl.obolibrary.org/obo/UBERON_0002101,
patchy,Class,hp.owl,50,http://purl.obolibrary.org/obo/PATO_0001608,
patchy,Class,mp.owl,1,http://purl.obolibrary.org/obo/PATO_0001608,
UBERON_0000473,Class,hp.owl,24,http://purl.obolibrary.org/obo/UBERON_0000473,
UBERON_0000473,Class,mp.owl,27,http://purl.obolibrary.org/obo/UBERON_0000473,
UBERON_0001911,Class,hp.owl,16,http://purl.obolibrary.org/obo/UBERON_0001911,
UBERON_0001911,Class,mp.owl,35,http://purl.obolibrary.org/obo/UBERON_0001911,
UBERON_0002102,Class,hp.owl,22,http://purl.obolibrary.org/obo/UBERON_0002102,
UBERON_0002102,Class,mp.owl,28,http://purl.obolibrary.org/obo/UBERON_0002102,
UBERON_0006660,Class,hp.owl,25,http://purl.obolibrary.org/obo/UBERON_0006660,
UBERON_0006660,Class,mp.owl,25,http://purl.obolibrary.org/obo/UBERON_0006660,
Osteolysis,Class,hp.owl,50,http://purl.obolibrary.org/obo/HP_0002797,
position,Class,hp.owl,8,http://purl.obolibrary.org/obo/PATO_0000140,
position,Class,mp.owl,42,http://purl.obolibrary.org/obo/PATO_0000140,
UBERON_0001637,Class,hp.owl,21,http://purl.obolibrary.org/obo/UBERON_0001637,
UBERON_0001637,Class,mp.owl,28,http://purl.obolibrary.org/obo/UBERON_0001637,
UBERON_0002544,Class,hp.owl,23,http://purl.obolibrary.org/obo/UBERON_0002544,
UBERON_0002544,Class,mp.owl,26,http://purl.obolibrary.org/obo/UBERON_0002544,
UBERON_0001255,Class,hp.owl,24,http://purl.obolibrary.org/obo/UBERON_0001255,
UBERON_0001255,Class,mp.owl,25,http://purl.obolibrary.org/obo/UBERON_0001255,
UBERON_0004379,Class,hp.owl,24,http://purl.obolibrary.org/obo/UBERON_0004379,
UBERON_0004379,Class,mp.owl,24,http://purl.obolibrary.org/obo/UBERON_0004379,
UBERON_0002046,Class,hp.owl,27,http://purl.obolibrary.org/obo/UBERON_0002046,
UBERON_0002046,Class,mp.owl,21,http://purl.obolibrary.org/obo/UBERON_0002046,
results_in_change_to,ObjectProperty,mp.owl,48,http://purl.obolibrary.org/obo/mp/mp-equivalent-axioms-subq#has_central_participant,
UBERON_0001723,Class,hp.owl,25,http://purl.obolibrary.org/obo/UBERON_0001723,
UBERON_0001723,Class,mp.owl,23,http://purl.obolibrary.org/obo/UBERON_0001723,
UBERON_0001705,Class,hp.owl,30,http://purl.obolibrary.org/obo/UBERON_0001705,
UBERON_0001705,Class,mp.owl,18,http://purl.obolibrary.org/obo/UBERON_0001705,
UBERON_0003633,Class,hp.owl,36,http://purl.obolibrary.org/obo/UBERON_0003633,
UBERON_0003633,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0003633,
UBERON_0003632,Class,hp.owl,36,http://purl.obolibrary.org/obo/UBERON_0003632,
UBERON_0003632,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0003632,
UBERON_0002240,Class,hp.owl,23,http://purl.obolibrary.org/obo/UBERON_0002240,
UBERON_0002240,Class,mp.owl,25,http://purl.obolibrary.org/obo/UBERON_0002240,
UBERON_0002103,Class,hp.owl,21,http://purl.obolibrary.org/obo/UBERON_0002103,
UBERON_0002103,Class,mp.owl,26,http://purl.obolibrary.org/obo/UBERON_0002103,
UBERON_0000966,Class,hp.owl,23,http://purl.obolibrary.org/obo/UBERON_0000966,
UBERON_0000966,Class,mp.owl,24,http://purl.obolibrary.org/obo/UBERON_0000966,
UBERON_0000945,Class,hp.owl,18,http://purl.obolibrary.org/obo/UBERON_0000945,
UBERON_0000945,Class,mp.owl,29,http://purl.obolibrary.org/obo/UBERON_0000945,
UBERON_0001711,Class,hp.owl,22,http://purl.obolibrary.org/obo/UBERON_0001711,
UBERON_0001711,Class,mp.owl,25,http://purl.obolibrary.org/obo/UBERON_0001711,
ivory,Class,hp.owl,47,http://purl.obolibrary.org/obo/PATO_0002149,
UBERON_0003635,Class,hp.owl,35,http://purl.obolibrary.org/obo/UBERON_0003635,
UBERON_0003635,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0003635,
has extra parts of type,Class,hp.owl,25,http://purl.obolibrary.org/obo/PATO_0002002,
has extra parts of type,Class,mp.owl,21,http://purl.obolibrary.org/obo/PATO_0002002,
Pseudoepiphyses,Class,hp.owl,46,http://purl.obolibrary.org/obo/HP_0010584,
bracket,Class,hp.owl,46,http://purl.obolibrary.org/obo/PATO_0002142,
UBERON_0003634,Class,hp.owl,35,http://purl.obolibrary.org/obo/UBERON_0003634,
UBERON_0003634,Class,mp.owl,11,http://purl.obolibrary.org/obo/UBERON_0003634,
UBERON_0003622,Class,hp.owl,34,http://purl.obolibrary.org/obo/UBERON_0003622,
UBERON_0003622,Class,mp.owl,12,http://purl.obolibrary.org/obo/UBERON_0003622,
UBERON_0001013,Class,hp.owl,23,http://purl.obolibrary.org/obo/UBERON_0001013,
UBERON_0001013,Class,mp.owl,23,http://purl.obolibrary.org/obo/UBERON_0001013,
prominent,Class,hp.owl,40,http://purl.obolibrary.org/obo/PATO_0001482,
prominent,Class,mp.owl,6,http://purl.obolibrary.org/obo/PATO_0001482,
CL_0000232,Class,hp.owl,7,http://purl.obolibrary.org/obo/CL_0000232,
CL_0000232,Class,mp.owl,38,http://purl.obolibrary.org/obo/CL_0000232,
UBERON_0000080,Class,hp.owl,22,http://purl.obolibrary.org/obo/UBERON_0000080,
UBERON_0000080,Class,mp.owl,23,http://purl.obolibrary.org/obo/UBERON_0000080,
UBERON_0000947,Class,hp.owl,14,http://purl.obolibrary.org/obo/UBERON_0000947,
UBERON_0000947,Class,mp.owl,30,http://purl.obolibrary.org/obo/UBERON_0000947,
UBERON_0003625,Class,hp.owl,31,http://purl.obolibrary.org/obo/UBERON_0003625,
UBERON_0003625,Class,mp.owl,13,http://purl.obolibrary.org/obo/UBERON_0003625,
UBERON_0002108,Class,hp.owl,20,http://purl.obolibrary.org/obo/UBERON_0002108,
UBERON_0002108,Class,mp.owl,23,http://purl.obolibrary.org/obo/UBERON_0002108,
UBERON_0001891,Class,hp.owl,17,http://purl.obolibrary.org/obo/UBERON_0001891,
UBERON_0001891,Class,mp.owl,26,http://purl.obolibrary.org/obo/UBERON_0001891,
UBERON_0000042,Class,hp.owl,22,http://purl.obolibrary.org/obo/UBERON_0000042,
UBERON_0000042,Class,mp.owl,21,http://purl.obolibrary.org/obo/UBERON_0000042,
UBERON_0000056,Class,hp.owl,18,http://purl.obolibrary.org/obo/UBERON_0000056,
UBERON_0000056,Class,mp.owl,25,http://purl.obolibrary.org/obo/UBERON_0000056,
UBERON_0002370,Class,hp.owl,16,http://purl.obolibrary.org/obo/UBERON_0002370,
UBERON_0002370,Class,mp.owl,27,http://purl.obolibrary.org/obo/UBERON_0002370,
UBERON_0001098,Class,hp.owl,21,http://purl.obolibrary.org/obo/UBERON_0001098,
UBERON_0001098,Class,mp.owl,22,http://purl.obolibrary.org/obo/UBERON_0001098,
UBERON_0003126,Class,hp.owl,19,http://purl.obolibrary.org/obo/UBERON_0003126,
